real_name,par1,par2
cand_1_sv:-0.05   ,-1.0078463641434194376,0.83985538005379134496
cand_1_sv:0.01    ,-0.89948500977654355371,0.68738723668189338767
cand_1_sv:0.1     ,-0.73694297822622978344,0.45868502162404639622
cand_1_sv:0.5     ,-0.014533949113724187185,-0.55776926752194011527
cand_1_sv:1       ,0.88847733727690780814,-1.8283371289544232408
cand_4_sv:-0.05   ,-1.1009396404757969545,1.1270764562845922985
cand_4_sv:0.01    ,-0.98866521200153301141,0.97077985060853222432
cand_4_sv:0.1     ,-0.82025356929013693019,0.7363349420944421686
cand_4_sv:0.5     ,-0.071757379461710124602,-0.30564242907929151105
cand_4_sv:1       ,0.8638628578238234379,-1.6081141430464587216
cand_5_sv:-0.05   ,-1.1185100570387866981,0.98337760302285404101
cand_5_sv:0.01    ,-1.1585442208714240575,1.0409444354472772165
cand_5_sv:0.1     ,-1.2185954666203799857,1.1272946840839117577
cand_5_sv:0.5     ,-1.4854898921712951232,1.5110735669133992243
cand_5_sv:1       ,-1.8191079241099390451,1.990797170450258502
cand_7_sv:-0.05   ,-1.0165393376018465599,0.76897153137060403338
cand_7_sv:0.01    ,-0.90715431460811246644,0.61665661682314376613
cand_7_sv:0.1     ,-0.7430767801175113263,0.38818424500195347626
cand_7_sv:0.5     ,-0.013843293492617370077,-0.62724851864778108368
cand_7_sv:1       ,0.8976985647885000752,-1.8965394732099492003
cand_10_sv:-0.05   ,-1.1515096814512411072,1.123626979915762103
cand_10_sv:0.01    ,-1.1869288007590474976,1.1745576428949373593
cand_10_sv:0.1     ,-1.2400574797207570832,1.2509536373637004658
cand_10_sv:0.5     ,-1.4761849417727999079,1.5904913905582029887
cand_10_sv:1       ,-1.7713442693378533832,2.0149135820513310868
cand_11_sv:-0.05   ,-1.2288685485295873789,1.5229217106634389545
cand_11_sv:0.01    ,-1.2612130183120995319,1.5694312038955358091
cand_11_sv:0.1     ,-1.3097297229858677614,1.6391954437436808689
cand_11_sv:0.5     ,-1.5253595215359490034,1.9492587319576593075
cand_11_sv:1       ,-1.7948967697235507224,2.2000000000000001776
cand_12_sv:-0.05   ,-1.219121917074033723,1.4769858199406049604
cand_12_sv:0.01    ,-1.251791007819154089,1.5239620995063454245
cand_12_sv:0.1     ,-1.3007946439368347491,1.5944265188549557877
cand_12_sv:0.5     ,-1.5185885822376374854,1.9076017159598912531
cand_12_sv:1       ,-1.7908310051136409058,2.2000000000000001776
cand_14_sv:-0.05   ,-1.0968666798848432098,1.0663300624019302898
cand_14_sv:0.01    ,-1.1341712109593184987,1.1199718394105284691
cand_14_sv:0.1     ,-1.1901280075710318762,1.2004345049234257381
cand_14_sv:0.5     ,-1.438824881400868394,1.5580463516474136743
cand_14_sv:1       ,-1.7496959736881643188,2.0050611600523984279
cand_16_sv:-0.05   ,-1.0951206940919258059,1.0381555033364138207
cand_16_sv:0.01    ,-1.1333523369114619772,1.0931304138829005534
cand_16_sv:0.1     ,-1.1906998011407659011,1.1755927797026306525
cand_16_sv:0.5     ,-1.4455774199376727474,1.5420921833458756112
cand_16_sv:1       ,-1.7641744434338062497,2.000216437899931865
cand_18_sv:-0.05   ,-1.0743873227724960451,1.0329925174583172165
cand_18_sv:0.01    ,-1.1127888587511773899,1.0882117246276448164
cand_18_sv:0.1     ,-1.1703911627191991851,1.1710405353816362162
cand_18_sv:0.5     ,-1.4264014025770743732,1.5391685831771533266
cand_18_sv:1       ,-1.7464142023994182473,1.9993286429215499922
cand_base_sv:-0.05   ,-1.1195729594154117947,1.1884366313619592059
cand_base_sv:0.01    ,-1.1555576242241614171,1.2401805163486503414
cand_base_sv:0.1     ,-1.2095346214372857396,1.3177963438286866005
cand_base_sv:0.5     ,-1.4494323868289498147,1.6627555770732926899
cand_base_sv:1       ,-1.7493045935685298531,2.0939546186290503016
