real_name,obj,g1,g2,g3,g4,g5,g6,g7,g8
dv_cand_sv:1e-05   ,162.269,-55.4728,-83.8466,-3.24552,-117.762,-2.57706,1.41872,2.09452,-1.74903
dv_cand_sv:0.0001  ,162.261,-55.4749,-83.8447,-3.24508,-117.759,-2.58036,1.41741,2.09678,-1.74668
dv_cand_sv:0.0005  ,162.227,-55.4845,-83.8364,-3.24315,-117.746,-2.59503,1.41155,2.10683,-1.73623
dv_cand_sv:0.001   ,162.184,-55.4965,-83.8259,-3.24074,-117.729,-2.61335,1.40424,2.11941,-1.72317
dv_cand_sv:0.0025  ,162.057,-55.5324,-83.7947,-3.2335,-117.68,-2.66828,1.38233,2.15728,-1.68396
dv_cand_sv:0.005   ,161.845,-55.5922,-83.7426,-3.22144,-117.597,-2.75966,1.3459,2.22079,-1.61852
dv_cand_sv:0.01    ,161.422,-55.7117,-83.6383,-3.19732,-117.43,-2.94177,1.27337,2.34936,-1.48731
dv_cand_sv:0.05    ,158.098,-56.6685,-82.8046,-3.00436,-116.013,-4.36809,0.708989,3.45163,-0.422298
dv_cand_sv:0.075   ,156.074,-57.2665,-82.2835,-2.88376,-115.053,-5.23191,0.370557,4.20711,0.257234
dv_cand_sv:0.1     ,154.09,-57.8645,-81.7624,-2.76316,-114.036,-6.07448,0.0431319,5.0138,0.947456
dv_cand_sv:0.25    ,143.043,-61.4523,-78.6359,-2.03956,-106.749,-10.6836,-1.69029,10.9292,5.31328
dv_cand_sv:0.5     ,127.888,-67.4321,-73.4249,-0.833565,-90.0704,-16.6652,-3.69882,24.8846,13.4449
dv_cand_sv:1       ,109.793,-79.3916,-63.0031,1.57844,-39.7186,-22.2524,-4.41402,68.1566,32.9151
dv_cand_sv:2       ,122.461,-103.311,-42.1594,6.40244,128.965,-7.92347,7.36308,216.146,84.6836
dv_cand_sv:5       ,419.421,-163.383,1.67588,25.5484,913.968,257.788,102.3,770.739,356.636
dv_cand_sv:10      ,622.981,-196.042,40.9799,41.0186,1258,656,108,834,1197.64
