real_name,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
0,5.2587372108674896864,-0.070628717386325146066,6.3824163108507647735,4.3684122317863627316,-0.4464319946582793186,-1.2309018896764367668,7.6254079496148712281,8.8112548111908033377,6.9619351450706403739,7.5998065646421961716
1,0.27839504196509690104,1.6485095022625624317,6.6298447524765435901,6.5378642100972950146,3.5176830510596603929,0.026098176144973450619,2.6438087344647676069,7.5689453192723021857,5.1366589103616382417,2.1968777192233845952
2,3.3101078684843625588,0.47252239632259440683,6.0310929993759252454,9.202809393128500659,2.2772578779930428006,5.4172809188840709282,4.7427209577357514192,7.8441577662304657892,7.6457927315784921518,2.4362767010639565513
3,3.0905261276462328013,3.2615501989037753994,7.0864467917564937238,7.3451224760264954838,2.1542631490670478556,2.4786962566656116635,5.1073777515663767446,7.943724429129320086,7.1371199147617092606,1.8534805559063189939
4,3.5147198834196307082,7.1811843948333713428,5.4037897728909376482,6.1083340439013706913,3.9060702238846856105,3.3853223258757672021,4.3495846598439698028,5.8548670372595355005,8.2878618509349415433,3.3178806260976272391
5,2.4964937793890520368,-4.237926158804473431,7.7987670080445461451,4.9617545002721685776,-0.83786259616758362867,6.2922902360074211003,5.6543797577641603525,9.280405551908380346,6.9113645832986536632,0.89058564991984301429
6,3.6035223664264890431,3.5106882103896435154,9.3296055059740670146,7.133213186445003906,5.1835342915847677503,3.8116200116422951361,4.9201580988699786801,9.826386259845804716,6.3053241446970007544,5.1686066066725668833
7,2.7222354103107067047,0.6551704892413132697,9.5261708123855264319,8.158569187860301497,3.1487666322827196907,2.23224187254213291,3.9193955840078511521,8.6797619229703499855,7.0184997620989832967,4.5870548041280727602
8,0.20209607944021845682,7.0561620291600792854,9.7385906566528337436,4.0131474720502922082,2.4017511751616451576,3.2787689965708191053,3.1394645901694211432,8.0618348834093076505,8.105605010307387559,4.7504068843209994455
9,3.7359795309652619189,2.9335419740062227412,8.2685159439836031225,7.2381084677930287441,-0.65680477781403689974,4.5885948220775576445,1.3715641000910809844,7.9961042890763138757,7.6469459128702901296,3.5367030038512896617
10,2.7839485088636868326,0.26913680081922963794,5.9902851962175196476,3.7121322725210217364,0.1894115939493568046,1.2157043215430616279,8.6611352205422829087,9.9050758325446537356,9.5893953436505050547,3.9045148202738495513
11,2.2503865781872303131,-0.55645850840502797396,9.0695322116902072906,5.2748476200710712192,3.1045749840627738791,2.385009568656663248,6.930014369379000172,9.2248581338014723485,7.04581094109299233,4.4018236332644837816
12,0.59254534214107823509,4.2413647464030033163,7.954904606716713289,7.4920031854546174088,0.73886390320059081027,2.1826733624641834197,5.1136920660541544947,9.1934674813767767176,6.9303570859034158147,9.4318967559683901669
13,3.5828837417067083138,5.0057378452271956704,6.0668753162575637106,5.3484949750918282518,0.59806818962482211077,2.9619025309811699564,2.519267751575640979,8.3365880556172804461,6.5293286824233458532,6.5406515967562315339
14,3.9442906509843713714,2.5600627959089141683,9.416814470387619096,6.9663755294548401764,1.5967325485362073856,3.3923395143809713659,6.3907647269185545724,9.5386586079366413315,6.1736827194556074261,1.3494073838125966169
15,3.9402531422619868628,2.5409874976333397534,8.9356038451972406023,7.0170774752183424638,1.0371816209110491513,5.9765796697343578359,4.8014190594195467199,8.4301390890616065832,5.8049811209098391984,7.29870500314496784
16,2.6844040350595479438,-1.2125806864943364793,7.7114002170217705867,8.4895374481605081485,-0.73903238845347019037,-1.3785697782023165203,5.8061880863175447942,9.3683917672884238215,6.959610625562381081,2.5801615034508094126
17,0.66365034117181553874,2.3063953969103128117,9.6897638795721370286,7.833651274177814372,1.4646945238713995341,2.3935821697338384162,3.6090624698088475952,7.0326685027064828049,5.7759754508280476415,6.8287447537251839691
18,3.6233553954408721509,3.7385663890339499993,3.5446006703678429872,8.240634719733378688,-1.3471138624481810986,4.1076213688672194024,4.9951162675614293462,9.051949139476588968,8.4572819658518483266,5.3083715830834874438
19,0.28384911946586610654,3.3715416822677863884,6.9933955541828094482,7.8326549474720561506,0.34195484710755663649,1.5148701906322967758,5.8033274162897852122,9.0880172206858453876,7.5554452010827519715,8.595523418781077396
base,2.2843287645780705475,2.4869047198343419147,8.1247796732733750247,6.1306848129283677551,1.6507088000507414982,2.925894772050599002,5.0175119575782600734,9.8717139241901161739,6.7542586047694141982,4.472224388941305584
