iteration,total_runs,obs_realization,par_realization,obj_fn,l_constraint
0,504,0,0,0,0
0,504,1,1,0,391.457
0,504,2,2,0,113.284
0,504,4,4,0,844.934
0,504,5,5,0,95.2801
0,504,6,6,0,2214.36
0,504,7,7,0,368.857
0,504,8,8,0,1267.27
0,504,9,9,0,4460.23
0,504,10,10,0,732.634
0,504,11,11,0,269.392
0,504,12,12,0,810.455
0,504,13,13,0,24.1612
0,504,14,14,0,655.023
0,504,15,15,0,181.596
0,504,16,16,0,3450.6
0,504,17,17,0,118.106
0,504,18,18,0,6157.82
0,504,19,19,0,749.416
0,504,base,base,0,10.3742
1,544,0,0,0,0
1,544,1,1,0,27.148
1,544,2,2,0,0.534843
1,544,4,4,0,4.6053
1,544,5,5,0,89.4901
1,544,7,7,0,113.618
1,544,8,8,0,59.5011
1,544,9,9,0,479.977
1,544,10,10,0,0
1,544,11,11,0,18.8112
1,544,12,12,0,580.729
1,544,13,13,0,1.57917
1,544,14,14,0,161.86
1,544,15,15,0,29.5272
1,544,17,17,0,30.7051
1,544,18,18,0,231.518
1,544,19,19,0,164.014
1,544,base,base,0,0.769941
2,582,0,0,0,0
2,582,1,1,0,13.5596
2,582,2,2,0,0.0989009
2,582,4,4,0,2.04118
2,582,5,5,0,25.5578
2,582,7,7,0,93.2006
2,582,9,9,0,99.9459
2,582,10,10,0,0
2,582,11,11,0,6.95115
2,582,12,12,0,270.481
2,582,13,13,0,0.564668
2,582,14,14,0,61.9351
2,582,17,17,0,10.534
2,582,18,18,0,126.45
2,582,19,19,0,146.211
2,582,base,base,0,0.275533
3,618,0,0,0,0
3,618,1,1,0,5.97058
3,618,2,2,0,0.00314232
3,618,4,4,0,0
3,618,5,5,0,19.1881
3,618,10,10,0,0
3,618,11,11,0,1.73976
3,618,13,13,0,0.208801
3,618,14,14,0,11.5013
3,618,17,17,0,2.24799
3,618,18,18,0,23.9989
3,618,19,19,0,40.1286
3,618,base,base,0,0.0852346
