real_name,obj,g1,g2,g3,g4,g5,g6,g7,g8
0,122.48393102483048267,-10.728796707000014976,-3.4095295280000001981,-8.6105002207999969954,-50.888073932627293061,-6.4779903661050042274,-2.6203244949815136522,0.72342749805932982099,2.2028632306100135452
1,150.3671946224597491,-12.023403483000009828,-54.063145629999993957,7.247725077199998367,6.9671178243865767854,-9.1685720082356709781,-22.16323114008944728,-7.9417685546571448185,-15.955557323334112141
2,265.90501814631568323,-16.881136213000004886,-99.526843468999999232,7.4662104612000028681,-21.660158634229901509,-4.7491209602905044562,-5.7712630704944043458,-7.2098089017495077258,-10.62046576516633678
3,136.83429810436473417,-11.587239230999998085,-41.528912449999999978,-1.4366077540000006252,-31.259251941863084312,-9.9415537273964282861,18.712768749086848175,9.7297490356039162407,14.657209547535526184
4,104.77038553132176446,1.4837094740000082993,-42.409281876999983751,-4.8925811580000004852,-4.3967763450136061465,50.674063894785888351,-0.8066859387125671077,-16.75576393537231823,-15.500563706684207688
5,162.29911035879550241,-13.073582068000007439,-68.582008463999997616,13.69902246079999486,-29.975575491382073778,-15.905553806278785345,-14.708932853360815685,-5.9912964940388988566,-15.959718147325576254
6,189.68906783649276804,-6.8980786280000074839,-68.383791938000001664,-0.025749706599995647593,6.4020514989292109931,1.7932307602546018188,-1.4242298393218142394,-7.1559409315745412528,38.754627182207585179
7,147.4103530760492049,-5.2151283580000011852,-72.547417123999991873,6.8002761167999992153,-48.975925790367611512,15.285582845043144573,-4.8633730500176319822,-11.372697873755278408,-19.452411034406491552
8,189.99085496379919391,0.21843144799998981398,-73.013601419000025317,-3.2344162872000019604,-32.989501888981550337,61.901475583095475486,-11.760633220918528252,-19.144711327671686263,-21.218817044368883273
9,159.58536325491229491,-11.293700344000001223,-40.647373719999990271,-7.4249349951999956687,1.4302162157473645721,28.601079624207727647,-2.6793278941717364461,-6.2945106811287097059,-37.545291573430120025
10,280.57714799068418188,-20.019494314000013446,-60.962646083999999291,-8.0873018221999970478,-77.865725472649558014,12.236589504417864305,15.250743856573492963,4.1874290474290774,-13.755594243094016349
11,64.675816367384612704,-1.262278548999972827,-19.163730573000005819,-0.26767436359999940976,-66.178160110401648808,5.2533258852082553858,-5.5056890428039260144,-12.164726992435781483,-14.165780528251687542
12,192.095494986624999,-15.278865387000010401,-54.73293182500000853,-3.2839200129999994715,28.625572901203639731,0.83068992807423569502,2.7326842478310560125,4.1299265134234488528,-3.322652032108027953
13,161.33207459211200785,3.2205078319999955738,-57.090622453000008818,-5.9110024894000021689,-38.131857624116150873,65.313646428494806173,-22.745209597978970351,-24.952452824198260828,-5.5388751290985531739
14,159.56499904406291535,-17.472105265000010377,-16.081029923999995646,-22.737155417000003865,4.3899894075500185409,9.0876002469966365993,27.849447983748440549,17.199218823721572846,49.368771702608043483
15,318.72818847461456926,-20.253844776999997634,-104.71843626699998708,7.908720250799998297,-52.151349192703420954,-3.2690913011614171069,2.6102224969550924527,-0.70921967382385986411,-7.0259322268788313437
16,170.96296535454791865,-6.1606056059999900754,-28.293573907000006074,-19.033667290999996879,-57.88960459641887013,25.651701775879061529,5.4941411222134455272,-7.3693632613254997921,66.745836518250982294
17,270.34417909654303003,-14.420554903999999397,-81.478922017000002143,-5.3499525295999976748,-84.718297903631196277,11.216634683660991811,-1.9746315472594435647,-10.372368697546860972,-40.938911300384091874
18,236.76272261096073635,-16.744248284000008198,-84.555515435000017987,4.8583379482000026428,-44.982479480362343338,0.1622363748349044954,27.368892938004417914,28.100845726718226558,-16.778984180467642062
19,185.91563078453737035,-4.1812831690000109575,-52.691071858000000816,-8.8803766865999964608,-27.886008431400682639,18.470197765675941071,-35.914888130124786869,-19.605960600736977995,24.859930461759191189
base,159.09100897648394835,-7.9484846740000136833,-60.001999334999993607,-0.10560886020000204155,-25.584293898091942765,-0.2661262494487672825,-0.061051372881710364027,-4.2776702449932955119,-8.4722211777074321049
