real_name,x1,x2
gen=20_member=2000_pso,1.00887,1.03422
gen=20_member=2001_pso,0.998021,0.987138
gen=20_member=2002_pso,1.01034,1.02805
gen=20_member=2003_pso,1.01339,1.03909
gen=20_member=2004_pso,0.989724,0.985222
gen=20_member=2005_pso,1.01032,1.02546
gen=20_member=2006_pso,1.01431,1.03976
gen=20_member=2007_pso,0.998759,1.01244
gen=20_member=2008_pso,1.01118,1.02885
gen=20_member=2009_pso,1.02053,1.04666
gen=20_member=2010_pso,1.01074,1.00521
gen=20_member=2011_pso,0.99798,1.00282
gen=20_member=2012_pso,1.04176,1.03353
gen=20_member=2013_pso,0.988274,1.04711
gen=20_member=2014_pso,1.00258,1.00125
gen=20_member=2015_pso,1.00508,1.00452
gen=20_member=2016_pso,1.01224,1.01556
gen=20_member=2017_pso,1.00215,1.01609
gen=20_member=2018_pso,0.99911,1.01226
gen=20_member=2019_pso,1.01302,1.00874
gen=20_member=2020_pso,1.00619,1.02754
gen=20_member=2021_pso,1.01285,1.01226
gen=20_member=2022_pso,1.0478,1.14279
gen=20_member=2023_pso,1.01075,1.03082
gen=20_member=2024_pso,0.994377,1.03471
gen=20_member=2025_pso,1.01245,1.01697
gen=20_member=2026_pso,1.00417,1.02565
gen=20_member=2027_pso,1.04174,1.01875
gen=20_member=2028_pso,1.00525,1.01158
gen=20_member=2029_pso,1.01083,0.99417
gen=20_member=2030_pso,1.00124,0.99519
gen=20_member=2031_pso,1.04193,1.04208
gen=20_member=2032_pso,1.0294,1.01316
gen=20_member=2033_pso,1.05008,1.02146
gen=20_member=2034_pso,1.00907,1.0227
gen=20_member=2035_pso,1.00895,0.998481
gen=20_member=2036_pso,1.01684,1.01897
gen=20_member=2037_pso,0.999785,0.960426
gen=20_member=2038_pso,1.01433,1.03416
gen=20_member=2039_pso,1.00048,0.967594
gen=20_member=2040_pso,1.01472,1.02962
gen=20_member=2041_pso,1.00829,1.08004
gen=20_member=2042_pso,1.04037,1.13724
gen=20_member=2043_pso,1.02511,1.01164
gen=20_member=2044_pso,1.00929,0.998153
gen=20_member=2045_pso,0.995721,1.02238
gen=20_member=2046_pso,1.02346,1.04712
gen=20_member=2047_pso,1.01871,1.01653
gen=20_member=2048_pso,1.00401,0.973242
gen=20_member=2049_pso,0.978897,1.09655
gen=20_member=2050_pso,1.07016,1.08217
gen=20_member=2051_pso,1.01865,1.02817
gen=20_member=2052_pso,1.01494,0.985745
gen=20_member=2053_pso,0.99645,1.0075
gen=20_member=2054_pso,1.03963,1.07514
gen=20_member=2055_pso,1.00752,0.981241
gen=20_member=2056_pso,1.03417,1.01123
gen=20_member=2057_pso,0.976748,0.919897
gen=20_member=2058_pso,0.983146,0.980022
gen=20_member=2059_pso,1.01033,1.03988
gen=20_member=2060_pso,1.01099,1.02657
gen=20_member=2061_pso,1.01454,1.0199
gen=20_member=2062_pso,1.11996,1.08046
gen=20_member=2063_pso,0.984745,1.01087
gen=20_member=2064_pso,1.00871,1.08931
gen=20_member=2065_pso,1.04455,1.01934
gen=20_member=2066_pso,0.97349,0.95919
gen=20_member=2067_pso,1.01175,1.05486
gen=20_member=2068_pso,1.01765,1.02507
gen=20_member=2069_pso,1.01161,1.02305
gen=20_member=2070_pso,1.05101,1.05431
gen=20_member=2071_pso,1.00846,1.03924
gen=20_member=2072_pso,1.30452,1.46818
gen=20_member=2073_pso,1.02785,1.05873
gen=20_member=2074_pso,0.999253,1.02116
gen=20_member=2075_pso,1.10257,1.23396
gen=20_member=2076_pso,1.12693,1.03593
gen=20_member=2077_pso,1.00839,1.02118
gen=20_member=2078_pso,1.06541,1.161
gen=20_member=2079_pso,0.991909,1.02978
gen=20_member=2080_pso,1.01318,1.01739
gen=20_member=2081_pso,1.01119,1.02499
gen=20_member=2082_pso,1.01958,1.03426
gen=20_member=2083_pso,1.05034,0.958548
gen=20_member=2084_pso,0.976565,0.986636
gen=20_member=2085_pso,0.994165,1.0519
gen=20_member=2086_pso,0.869082,0.820454
gen=20_member=2087_pso,1.02227,1.26213
gen=20_member=2088_pso,1.01704,1.06779
gen=20_member=2089_pso,1.15517,1.31846
gen=20_member=2090_pso,1.03933,1.02038
gen=20_member=2091_pso,1.01817,1.081
gen=20_member=2092_pso,1.01826,0.971613
gen=20_member=2093_pso,1.02289,1.04537
gen=20_member=2094_pso,1.00579,1.03425
gen=20_member=2095_pso,1.02453,1.0328
gen=20_member=2096_pso,1.0764,0.969487
gen=20_member=2097_pso,1.00684,0.998771
gen=20_member=2098_pso,1.00493,1.02785
gen=20_member=2099_pso,1.0159,1.01152
