real_name,x1,x2
gen=10_member=1000_pso,1.03286,0.947665
gen=10_member=1001_pso,0.943547,0.983318
gen=10_member=1002_pso,0.749304,0.502188
gen=10_member=1003_pso,1.55072,1.96243
gen=10_member=1004_pso,1.25322,0.995244
gen=10_member=1005_pso,0.959184,0.965744
gen=10_member=1006_pso,1.01981,1.0602
gen=10_member=1007_pso,0.926056,0.939358
gen=10_member=1008_pso,1.13848,0.968307
gen=10_member=1009_pso,1.52434,1.34479
gen=10_member=1010_pso,0.677691,0.46651
gen=10_member=1011_pso,0.986058,0.896964
gen=10_member=1012_pso,0.870358,0.579862
gen=10_member=1013_pso,1.2002,1.71257
gen=10_member=1014_pso,1.01422,0.904365
gen=10_member=1015_pso,1.42778,1.75817
gen=10_member=1016_pso,1.05105,1.22912
gen=10_member=1017_pso,1.39567,0.983709
gen=10_member=1018_pso,0.783624,0.204487
gen=10_member=1019_pso,0.871578,0.660303
gen=10_member=1020_pso,0.9827,1.06242
gen=10_member=1021_pso,2.10972,1.35601
gen=10_member=1022_pso,1.06858,0.959266
gen=10_member=1023_pso,0.814914,1.01305
gen=10_member=1024_pso,0.558123,0.309526
gen=10_member=1025_pso,1.55565,1.94487
gen=10_member=1026_pso,1.16128,1.05961
gen=10_member=1027_pso,1.21231,1.44919
gen=10_member=1028_pso,0.821273,1.13359
gen=10_member=1029_pso,0.0955188,0.28711
gen=10_member=1030_pso,0.643963,1.77323
gen=10_member=1031_pso,1.13558,1.0607
gen=10_member=1032_pso,0.998677,0.958274
gen=10_member=1033_pso,1.0462,0.832094
gen=10_member=1034_pso,0.844626,0.817793
gen=10_member=1035_pso,1.04412,0.686426
gen=10_member=1036_pso,1.14077,1.47272
gen=10_member=1037_pso,1.25502,1.3967
gen=10_member=1038_pso,1.07785,0.972813
gen=10_member=1039_pso,1.34587,0.763125
gen=10_member=1040_pso,1.1058,1.00814
gen=10_member=1041_pso,1.94377,-0.0503345
gen=10_member=1042_pso,1.77307,0.1513
gen=10_member=1043_pso,1.77904,1.44796
gen=10_member=1044_pso,1.04847,0.967368
gen=10_member=1045_pso,0.677646,0.799624
gen=10_member=1046_pso,0.559814,0.811422
gen=10_member=1047_pso,1.22737,0.538078
gen=10_member=1048_pso,0.602129,0.609116
gen=10_member=1049_pso,1.01875,0.962482
gen=10_member=1050_pso,0.718273,1.32107
gen=10_member=1051_pso,1.02348,0.969978
gen=10_member=1052_pso,1.39643,1.45427
gen=10_member=1053_pso,1.03338,1.3627
gen=10_member=1054_pso,1.0355,0.93505
gen=10_member=1055_pso,0.520955,1.44323
gen=10_member=1056_pso,1.56926,1.09432
gen=10_member=1057_pso,0.694661,0.426514
gen=10_member=1058_pso,1.29373,1.40197
gen=10_member=1059_pso,1.79323,0.414544
gen=10_member=1060_pso,1.17488,1.32302
gen=10_member=1061_pso,1.29215,1.7617
gen=10_member=1062_pso,0.652508,1.13479
gen=10_member=1063_pso,0.763117,0.808257
gen=10_member=1064_pso,1.07892,0.975566
gen=10_member=1065_pso,0.585125,0.895604
gen=10_member=1066_pso,0.323759,1.24412
gen=10_member=1067_pso,0.538408,0.837848
gen=10_member=1068_pso,1.36157,1.43473
gen=10_member=1069_pso,0.646595,1.00307
gen=10_member=1070_pso,0.964647,1.25458
gen=10_member=1071_pso,1.43388,0.822207
gen=10_member=1072_pso,0.853209,1.00599
gen=10_member=1073_pso,0.880659,1.26997
gen=10_member=1074_pso,1.06849,0.927355
gen=10_member=1075_pso,0.657774,0.922012
gen=10_member=1076_pso,1.34391,1.79627
gen=10_member=1077_pso,1.14098,0.939936
gen=10_member=1078_pso,0.603629,1.16799
gen=10_member=1079_pso,-0.009714,-0.364014
gen=10_member=1080_pso,1.03478,1.15344
gen=10_member=1081_pso,1.30483,1.82736
gen=10_member=1082_pso,0.930193,0.490926
gen=10_member=1083_pso,1.91939,1.47813
gen=10_member=1084_pso,1.21355,1.27892
gen=10_member=1085_pso,1.09991,1.27394
gen=10_member=1086_pso,1.28339,1.63399
gen=10_member=1087_pso,0.80205,0.869605
gen=10_member=1088_pso,0.928857,0.89542
gen=10_member=1089_pso,0.322812,-0.168582
gen=10_member=1090_pso,0.944878,1.04992
gen=10_member=1091_pso,0.00388871,0.197596
gen=10_member=1092_pso,1.04922,1.69822
gen=10_member=1093_pso,0.53577,0.492892
gen=10_member=1094_pso,0.930936,0.927243
gen=10_member=1095_pso,1.06463,0.94118
gen=10_member=1096_pso,0.523846,0.352261
gen=10_member=1097_pso,1.296,0.317589
gen=10_member=1098_pso,0.675266,0.914921
gen=10_member=1099_pso,0.733986,0.679392
