real_name,obj,constraint
gen=20_member=2000_pso,0.0270036,-1.23573
gen=20_member=2001_pso,0.00793682,-1.25841
gen=20_member=2002_pso,0.00537088,-1.24522
gen=20_member=2003_pso,0.0149133,-1.24103
gen=20_member=2004_pso,0.0033177,-1.24166
gen=20_member=2005_pso,0.00233528,-1.24775
gen=20_member=2006_pso,0.0121632,-1.24244
gen=20_member=2007_pso,0.022257,-1.23477
gen=20_member=2008_pso,0.00417346,-1.24631
gen=20_member=2009_pso,0.00311042,-1.24953
gen=20_member=2010_pso,0.0269293,-1.26894
gen=20_member=2011_pso,0.00470984,-1.24263
gen=20_member=2012_pso,0.269286,-1.31042
gen=20_member=2013_pso,0.496051,-1.17651
gen=20_member=2014_pso,0.00154094,-1.25456
gen=20_member=2015_pso,0.00323146,-1.25691
gen=20_member=2016_pso,0.00836368,-1.26197
gen=20_member=2017_pso,0.0138967,-1.23875
gen=20_member=2018_pso,0.0197086,-1.23574
gen=20_member=2019_pso,0.030713,-1.27056
gen=20_member=2020_pso,0.022896,-1.23639
gen=20_member=2021_pso,0.0186698,-1.26665
gen=20_member=2022_pso,0.203984,-1.21475
gen=20_member=2023_pso,0.00860951,-1.24335
gen=20_member=2024_pso,0.210921,-1.20264
gen=20_member=2025_pso,0.00669052,-1.26104
gen=20_member=2026_pso,0.0299354,-1.23373
gen=20_member=2027_pso,0.443617,-1.32517
gen=20_member=2028_pso,0.000139142,-1.25023
gen=20_member=2029_pso,0.076342,-1.2802
gen=20_member=2030_pso,0.00531233,-1.2576
gen=20_member=2031_pso,0.191277,-1.30226
gen=20_member=2032_pso,0.21705,-1.30298
gen=20_member=2033_pso,0.661986,-1.34122
gen=20_member=2034_pso,0.00208153,-1.24771
gen=20_member=2035_pso,0.0380622,-1.27165
gen=20_member=2036_pso,0.0227715,-1.26892
gen=20_member=2037_pso,0.153234,-1.28909
gen=20_member=2038_pso,0.00301937,-1.24807
gen=20_member=2039_pso,0.111275,-1.28348
gen=20_member=2040_pso,0.000216929,-1.2535
gen=20_member=2041_pso,0.401967,-1.18861
gen=20_member=2042_pso,0.30266,-1.2036
gen=20_member=2043_pso,0.154276,-1.29484
gen=20_member=2044_pso,0.0421463,-1.27274
gen=20_member=2045_pso,0.0956079,-1.21799
gen=20_member=2046_pso,0.000562174,-1.25566
gen=20_member=2047_pso,0.0454659,-1.27557
gen=20_member=2048_pso,0.121076,-1.28578
gen=20_member=2049_pso,1.91345,-1.10597
gen=20_member=2050_pso,0.402657,-1.32568
gen=20_member=2051_pso,0.00931323,-1.26378
gen=20_member=2052_pso,0.196903,-1.29786
gen=20_member=2053_pso,0.0212865,-1.23451
gen=20_member=2054_pso,0.00480098,-1.26402
gen=20_member=2055_pso,0.114734,-1.28569
gen=20_member=2056_pso,0.340921,-1.31566
gen=20_member=2057_pso,0.117092,-1.27779
gen=20_member=2058_pso,0.0183647,-1.23206
gen=20_member=2059_pso,0.0365991,-1.23337
gen=20_member=2060_pso,0.00211678,-1.24816
gen=20_member=2061_pso,0.0090234,-1.26281
gen=20_member=2062_pso,3.03642,-1.43944
gen=20_member=2063_pso,0.169557,-1.2048
gen=20_member=2064_pso,0.515829,-1.18029
gen=20_member=2065_pso,0.516696,-1.3309
gen=20_member=2066_pso,0.0139438,-1.23116
gen=20_member=2067_pso,0.0976183,-1.22158
gen=20_member=2068_pso,0.0114114,-1.26464
gen=20_member=2069_pso,0.00014452,-1.25308
gen=20_member=2070_pso,0.255774,-1.31047
gen=20_member=2071_pso,0.0495925,-1.22979
gen=20_member=2072_pso,5.54979,-1.467
gen=20_member=2073_pso,0.00128011,-1.25394
gen=20_member=2074_pso,0.051335,-1.22716
gen=20_member=2075_pso,0.043991,-1.24683
gen=20_member=2076_pso,5.49374,-1.49966
gen=20_member=2077_pso,0.00194157,-1.2477
gen=20_member=2078_pso,0.0713302,-1.23618
gen=20_member=2079_pso,0.210721,-1.20201
gen=20_member=2080_pso,0.00853355,-1.26226
gen=20_member=2081_pso,0.000739387,-1.25019
gen=20_member=2082_pso,0.00316724,-1.25979
gen=20_member=2083_pso,2.09522,-1.40471
gen=20_member=2084_pso,0.109165,-1.21064
gen=20_member=2085_pso,0.403747,-1.18497
gen=20_member=2086_pso,0.441599,-1.13498
gen=20_member=2087_pso,4.71379,-1.03797
gen=20_member=2088_pso,0.111974,-1.22055
gen=20_member=2089_pso,0.0495057,-1.28066
gen=20_member=2090_pso,0.359521,-1.31812
gen=20_member=2091_pso,0.19689,-1.20988
gen=20_member=2092_pso,0.426045,-1.31948
gen=20_member=2093_pso,0.000609855,-1.25613
gen=20_member=2094_pso,0.0512604,-1.22878
gen=20_member=2095_pso,0.0290521,-1.2724
gen=20_member=2096_pso,3.58346,-1.45241
gen=20_member=2097_pso,0.0224041,-1.26662
gen=20_member=2098_pso,0.0323035,-1.23324
gen=20_member=2099_pso,0.0424131,-1.27426
