real_name,obj,constraint
gen=0_member=0,448.173,3.82635
gen=0_member=1,3236.37,4.069
gen=0_member=2,830.13,0.64416
gen=0_member=3,221.18,1.39719
gen=0_member=4,258.208,4.72435
gen=0_member=5,581.7,-3.66269
gen=0_member=6,289.021,-2.92209
gen=0_member=7,102.417,-0.179679
gen=0_member=8,74.2396,3.7516
gen=0_member=9,1096.4,-3.53443
gen=0_member=10,818.857,-4.08751
gen=0_member=11,6.06691,1.51787
gen=0_member=12,343.579,-0.345383
gen=0_member=13,1643.06,5.31666
gen=0_member=14,1448.91,-4.56716
gen=0_member=15,9.08572,0.965144
gen=0_member=16,1771.97,5.45917
gen=0_member=17,3429.7,2.89081
gen=0_member=18,38.4364,0.521691
gen=0_member=19,17.7876,-0.324403
gen=0_member=20,199.416,1.92369
gen=0_member=21,518.417,3.99841
gen=0_member=22,197.257,5.12279
gen=0_member=23,3943.18,3.11425
gen=0_member=24,361.099,0.118341
gen=0_member=25,21.6472,-0.325412
gen=0_member=26,979.693,0.827852
gen=0_member=27,403.54,-3.16065
gen=0_member=28,348.431,-2.71222
gen=0_member=29,66.1076,0.232101
gen=0_member=30,1898.81,3.63696
gen=0_member=31,152.822,0.51209
gen=0_member=32,728.518,1.08236
gen=0_member=33,30.5065,5.41287
gen=0_member=34,4.16157,0.597787
gen=0_member=35,86.9768,-0.114011
gen=0_member=36,2.27791,-0.0754631
gen=0_member=37,1844.26,2.14944
gen=0_member=38,225.344,5.33979
gen=0_member=39,5.40635,-0.0954777
gen=0_member=40,226.852,1.09107
gen=0_member=41,7.50169,5.07863
gen=0_member=42,1323.55,-4.82262
gen=0_member=43,67.4865,-0.42534
gen=0_member=44,236.791,2.85979
gen=0_member=45,240.278,1.4262
gen=0_member=46,116.581,0.378616
gen=0_member=47,57.7522,3.94991
gen=0_member=48,18.1731,2.73792
gen=0_member=49,59.9772,-0.952695
gen=0_member=50,18.5133,0.0496336
gen=0_member=51,273.767,-2.66752
gen=0_member=52,1429.43,4.14093
gen=0_member=53,2292.64,-5.38405
gen=0_member=54,781.099,-4.0558
gen=0_member=55,1873.76,3.82147
gen=0_member=56,12.8023,3.00488
gen=0_member=57,476.294,-3.37734
gen=0_member=58,168.615,-2.54737
gen=0_member=59,25.8903,-1.77373
gen=0_member=60,779.315,-3.98736
gen=0_member=61,81.1879,2.38837
gen=0_member=62,172.622,5.44618
gen=0_member=63,239.119,1.01403
gen=0_member=64,53.5231,3.02775
gen=0_member=65,946.6,-4.33784
gen=0_member=66,2.07701,-1.25615
gen=0_member=67,204.198,-2.1023
gen=0_member=68,6.7808,2.00306
gen=0_member=69,1274.75,-3.99661
gen=0_member=70,22.997,4.76276
gen=0_member=71,1580.64,2.11567
gen=0_member=72,240.681,1.06201
gen=0_member=73,1074.32,4.58426
gen=0_member=74,3465.13,-6.02194
gen=0_member=75,478.694,-3.43355
gen=0_member=76,102.414,-2.24252
gen=0_member=77,34.868,1.05336
gen=0_member=78,4.7992,0.206121
gen=0_member=79,761.374,-0.317076
gen=0_member=80,197.023,-2.19826
gen=0_member=81,299.748,3.1353
gen=0_member=82,141.816,1.42669
gen=0_member=83,688.9,-3.0162
gen=0_member=84,9.85629,-0.82942
gen=0_member=85,406.155,-2.91677
gen=0_member=86,315.013,-2.54516
gen=0_member=87,404.147,5.85849
gen=0_member=88,1991.65,1.73052
gen=0_member=89,476.265,1.09671
gen=0_member=90,288.9,3.44856
gen=0_member=91,1446.37,-4.23693
gen=0_member=92,330.831,4.82235
gen=0_member=93,319.922,1.6561
gen=0_member=94,41.2746,4.54445
gen=0_member=95,17.1109,4.56688
gen=0_member=96,899.294,0.900588
gen=0_member=97,55.3132,3.99068
gen=0_member=98,149.087,1.9525
gen=0_member=99,1204.65,4.66597
