real_name,par1,par2,par3
0,1.4749139673749021018,2.2000000000000001776,0
1,1.4981212772464158611,2.2000000000000001776,0
2,1.5873137543801818516,2.2000000000000001776,0
3,1.1938005254323906801,1.0976400579833145432,0
4,1.0603487831350970616,0.96627507898640452311,0
5,1.2455782280427423192,1.2195931859401807351,0
6,1.0929381714425132621,1.0262135182441975978,0
7,1.4575994428733887176,2.2000000000000001776,0
8,1.1419906477506820419,1.3842952815425697555,0
9,1.2977943727295855325,1.5482044618795378632,0
10,0.9126819979646583203,0.49232935404181099592,0
11,1.180629771549203344,0.9955105740251030122,0
12,1.0895127327316911359,0.67845695775524750282,0
13,1.4053325202251636394,1.5268830715069885429,0
14,1.5259228175270973527,2.2000000000000001776,0
15,0.92079095392609089377,0.96172710568645736195,0
16,1.1708910467251072429,1.1652787353789668678,0
17,1.3079974700143037758,2.2000000000000001776,0
18,1.4287750980060627271,2.1348149660553343843,0
19,1.5905650294015343249,2.2000000000000001776,0
base,1.2885315276137032647,1.713686437652919059,0
