real_name,par1,par2,par3
0,1.1423555198702113334,1.4830565327650102603,0
1,1.3436442568662467778,1.6811505025297996951,0
2,2.2000000000000001776,2.2000000000000001776,0
3,0.64696773291540243811,-0.70587855742030003459,0
4,2.2000000000000001776,2.2000000000000001776,0
5,0.9275371424716805091,2.0496443022867962824,0
6,0.51339929551131335828,-0.11278743865353879627,0
7,1.3545636559599374404,0.59091641099320391106,0
8,0.347172807000496908,1.8131176931315389211,0
9,1.2922716275330987656,1.869222972245284442,0
10,1.142006869411082981,0.73296758302595410584,0
11,1.3188419923165930481,0.89118557169536838369,0
12,1.6681734213402859002,2.0794653270787324395,0
13,0.96576670448933388258,1.9371704497017057101,0
14,2.2000000000000001776,1.9736638342554697623,0
15,1.0096153102303480065,0.70412298561630759508,0
16,2.2000000000000001776,1.4753658060850787237,0
17,1.2846756228037268244,0.72548944146924743137,0
18,1.9998487404800728839,2.2000000000000001776,0
19,1.8000457512037246754,1.323994806992352391,0
base,1.1018749125498379371,0.855563109465902083,0
