real_name,constraint1,constraint2,constraint3,obs
cand_tr1_rs:0.01    ,-0.6796446579999999571,0.1341426410000000069,-0.21820080699999999663,2.9722710499999998035
cand_tr1_rs:0.1     ,-0.67296621300000003529,0.13729066400000000669,-0.21427021900000001176,2.8523537600000001824
cand_tr1_rs:0.5     ,-0.64328423199999995585,0.15128187700000000904,-0.19680094200000000648,2.3592085499999999598
cand_tr1_rs:1       ,-0.6061817550000000443,0.16877089200000000568,-0.17496434499999999335,1.8330107700000000115
cand_tr2_rs:0.01    ,-0.96730605999999996758,0.083430609000000002795,-0.35355017999999999168,9.4933636599999999817
cand_tr2_rs:0.1     ,-0.96062761399999996303,0.086578631799999999918,-0.34961959300000000628,9.2415278999999994625
cand_tr2_rs:0.5     ,-0.93094563299999999462,0.10056984400000000546,-0.332150316000000001,8.1692280000000003781
cand_tr2_rs:1       ,-0.89384315700000005478,0.11805886000000000158,-0.31031371899999998787,6.9354195000000000704
cand_tr5_rs:0.01    ,-1.1179764100000000315,0.026039187200000001032,-0.43677488700000000055,15.870430100000000095
cand_tr5_rs:0.1     ,-1.1112979599999999181,0.029187210000000001625,-0.43284430000000001515,15.530549000000000603
cand_tr5_rs:0.5     ,-1.0816159800000000324,0.043178422600000002096,-0.41537502199999998265,14.070553699999999608
cand_tr5_rs:1       ,-1.0445135000000000947,0.060667438400000002485,-0.39353842599999999674,12.360393900000000045
cand_tr6_rs:0.01    ,-0.6717604390000000425,0.040205560799999998101,-0.25262195100000001124,4.1971714000000002187
cand_tr6_rs:0.1     ,-0.66508199300000003795,0.043353583699999996559,-0.24869136399999999809,4.0528820699999998922
cand_tr6_rs:0.5     ,-0.63540001199999995851,0.0573447963000000005,-0.23122208599999999334,3.4503863300000001679
cand_tr6_rs:1       ,-0.59829753600000001867,0.074833811999999999554,-0.20938548900000000796,2.7851577299999998871
cand_tr7_rs:0.01    ,-0.67002337499999997661,-0.26658935299999997337,-0.37464509099999998565,10.850467699999999382
cand_tr7_rs:0.1     ,-0.66334492899999997206,-0.26344132999999997358,-0.37071450400000000025,10.620277599999999651
cand_tr7_rs:0.5     ,-0.63366294800000000365,-0.24945011799999999846,-0.35324522600000002326,9.633481550000000837
cand_tr7_rs:1       ,-0.59656047199999995279,-0.23196110200000000234,-0.33140862999999998184,8.4821600900000007073
cand_tr13_rs:0.01    ,-0.46474945400000000628,-0.40252598299999997611,-0.3469101749999999873,10.968022200000000055
cand_tr13_rs:0.1     ,-0.45807100800000000174,-0.39937795999999997631,-0.34297958699999997467,10.758883900000000722
cand_tr13_rs:0.5     ,-0.42838902699999997781,-0.3853867480000000012,-0.32551031000000002491,9.8602426499999999976
cand_tr13_rs:1       ,-0.39128655099999998246,-0.36789773199999997733,-0.30367371300000001177,8.8067931000000001518
cand_tr14_rs:0.01    ,-0.78734238999999994757,-0.058733503600000000477,-0.3384303579999999867,8.1688640100000000643
cand_tr14_rs:0.1     ,-0.78066394500000002576,-0.055585480800000003354,-0.33449976999999997407,7.9548190800000000422
cand_tr14_rs:0.5     ,-0.75098196399999994632,-0.041594268199999999414,-0.31703049300000002431,7.0443321900000004376
cand_tr14_rs:1       ,-0.71387948700000003477,-0.024105252399999999025,-0.29519389600000001117,5.9987677100000000863
cand_tr15_rs:0.01    ,-0.57150688699999996345,-0.25440130300000002306,-0.3303632759999999835,8.6087800399999991896
cand_tr15_rs:0.1     ,-0.56482844200000004165,-0.25125328000000002326,-0.3264326889999999981,8.4122024999999993611
cand_tr15_rs:0.5     ,-0.5351464609999999622,-0.23726206799999999264,-0.30896341100000002111,7.5726376899999996439
cand_tr15_rs:1       ,-0.49804398399999999514,-0.21977305199999999652,-0.28712681499999997969,6.6004308500000004045
cand_tr16_rs:0.01    ,-0.56981994499999999437,-0.22876113000000000697,-0.31943242999999998943,7.9362712499999998883
cand_tr16_rs:0.1     ,-0.56314149999999996155,-0.22561310700000000717,-0.31550184300000000404,7.7474436400000001868
cand_tr16_rs:0.5     ,-0.53345951899999999313,-0.21162189400000000483,-0.29803256500000002704,6.9424653799999997972
cand_tr16_rs:1       ,-0.49635704200000002606,-0.19413287900000000819,-0.27619596800000001391,6.0138136900000001006
cand_tr18_rs:0.01    ,-0.77478242799999996748,-0.12510982500000000783,-0.35995690099999999578,9.4401541800000003946
cand_tr18_rs:0.1     ,-0.76810398300000004568,-0.12196180199999999416,-0.35602631400000001038,9.2126646300000007983
cand_tr18_rs:0.5     ,-0.73842200199999996624,-0.10797059000000000517,-0.33855703700000000511,8.2415263200000001831
cand_tr18_rs:1       ,-0.70131952500000005468,-0.090481573900000000776,-0.31672043999999999198,7.1181053700000003204
cand_trbase_rs:0.01    ,-0.75829705199999997145,-0.13603373199999999055,-0.35773231399999999569,9.33713868000000069
cand_trbase_rs:0.1     ,-0.7516186059999999669,-0.13288570899999999075,-0.35380172599999998306,9.1126820199999993832
cand_trbase_rs:0.5     ,-0.72193662499999999849,-0.11889449600000000229,-0.33633244899999997779,8.1545217700000005578
cand_trbase_rs:1       ,-0.68483414899999994763,-0.10140548100000000564,-0.31449585200000002017,7.0461798499999996892
