real_name,constraint,obs
dv_cand_sv:6.11e-09,-1.79487,214.526
dv_cand_sv:1.53e-06,-1.79589,214.69
dv_cand_sv:3.05e-06,-1.79692,214.855
dv_cand_sv:6.11e-06,-1.79897,215.184
dv_cand_sv:3.05e-05,-1.81543,217.837
dv_cand_sv:4.58e-05,-1.82571,219.508
dv_cand_sv:6.11e-05,-1.836,221.188
dv_cand_sv:0.000153,-1.8977,231.482
dv_cand_sv:0.000305,-2.00054,249.453
dv_cand_sv:0.000611,-2.20622,288.604
dv_cand_sv:0.00122 ,-2.61758,380.912
dv_cand_sv:0.00305 ,-3.63901,680.839
dv_cand_sv:0.00611 ,-4.72012,1193.38
