iteration,total_runs,obs_realization,par_realization,obj_fn,l_constraint
0,504,1,1,0,0
0,504,2,2,0,50.313
0,504,3,3,0,0
0,504,4,4,0,656.704
0,504,5,5,0,0
0,504,6,6,0,0
0,504,7,7,0,0
0,504,8,8,0,189.526
0,504,9,9,0,0
0,504,10,10,0,1.11321
0,504,11,11,0,68.3159
0,504,12,12,0,2234.61
0,504,14,14,0,318.493
0,504,15,15,0,0.975488
0,504,17,17,0,0
0,504,18,18,0,34.7689
0,504,19,19,0,0
0,504,base,base,0,1.4856
1,542,1,1,0,8.13566
1,542,2,2,0,56.0818
1,542,3,3,0,4.51252
1,542,4,4,0,78.4735
1,542,6,6,0,0
1,542,7,7,0,0
1,542,8,8,0,26.4497
1,542,10,10,0,27.1994
1,542,11,11,0,23.1551
1,542,12,12,0,92.9217
1,542,14,14,0,29.2419
1,542,15,15,0,7.8232
1,542,17,17,0,26.8926
1,542,18,18,0,11.1214
1,542,19,19,0,0
1,542,base,base,0,4.85142
2,578,1,1,0,0.415289
2,578,2,2,0,0.878838
2,578,3,3,0,0
2,578,4,4,0,135.259
2,578,6,6,0,0
2,578,7,7,0,0
2,578,8,8,0,2.18738
2,578,10,10,0,0.00249332
2,578,11,11,0,0
2,578,14,14,0,0
2,578,17,17,0,0.530115
2,578,18,18,0,0.000180486
2,578,19,19,0,0
2,578,base,base,0,0
3,612,1,1,0,0.126849
3,612,2,2,0,0.216605
3,612,3,3,0,0
3,612,6,6,0,0
3,612,7,7,0,0
3,612,10,10,0,0.00838691
3,612,11,11,0,0
3,612,14,14,0,0
3,612,17,17,0,0.0128673
3,612,18,18,0,0
3,612,19,19,0,0
3,612,base,base,0,0
iteration,total_runs,obs_realization,par_realization,obj_fn,l_constraint
0,1116,0,0,0,99872.1
0,1116,1,1,0,11104.5
0,1116,2,2,0,12931.5
0,1116,3,3,0,27034.9
0,1116,4,4,0,7624.46
0,1116,5,5,0,57784.1
0,1116,6,6,0,31839
0,1116,7,7,0,7305.15
0,1116,8,8,0,67423.6
0,1116,9,9,0,20660.7
0,1116,10,10,0,4121.61
0,1116,12,12,0,15225.7
0,1116,13,13,0,1964.41
0,1116,14,14,0,11063.1
0,1116,15,15,0,47017.4
0,1116,16,16,0,29125.9
0,1116,17,17,0,61779.1
0,1116,18,18,0,1557.45
0,1116,19,19,0,10286.8
0,1116,base,base,0,773.57
1,1156,0,0,0,481.511
1,1156,1,1,0,342.065
1,1156,3,3,0,327.916
1,1156,4,4,0,146.852
1,1156,5,5,0,42.814
1,1156,6,6,0,36.3787
1,1156,7,7,0,2221.66
1,1156,8,8,0,2805.44
1,1156,10,10,0,606.934
1,1156,12,12,0,328.166
1,1156,13,13,0,1281.77
1,1156,14,14,0,230.956
1,1156,15,15,0,1324.45
1,1156,16,16,0,338.499
1,1156,17,17,0,207.923
1,1156,18,18,0,59.4414
1,1156,19,19,0,1370.54
1,1156,base,base,0,358.962
2,1194,0,0,0,22.0926
2,1194,3,3,0,253.694
2,1194,4,4,0,116.82
2,1194,5,5,0,0.977892
2,1194,6,6,0,54.8661
2,1194,8,8,0,0
2,1194,10,10,0,38.3527
2,1194,12,12,0,254.11
2,1194,13,13,0,15.3205
2,1194,14,14,0,0.907765
2,1194,15,15,0,0
2,1194,16,16,0,133.1
2,1194,17,17,0,1.56295
2,1194,18,18,0,0.827664
2,1194,19,19,0,37.1508
2,1194,base,base,0,0.323019
3,1230,0,0,0,0
3,1230,3,3,0,623.694
3,1230,4,4,0,3.81769
3,1230,5,5,0,0
3,1230,6,6,0,0
3,1230,8,8,0,0
3,1230,10,10,0,346.692
3,1230,12,12,0,277.84
3,1230,13,13,0,0.00481465
3,1230,15,15,0,0
3,1230,16,16,0,14.6049
3,1230,17,17,0,0.151367
3,1230,18,18,0,0
3,1230,19,19,0,0
3,1230,base,base,0,0.0550248
